model,type,class,precision,recall,f1,support,accuracy_overall
ViT-B16,per_class,nasi_goreng,1.0,1.0,1.0,35,0.9879518072289156
ViT-B16,per_class,rendang,1.0,1.0,1.0,34,0.9879518072289156
ViT-B16,per_class,soto_ayam,1.0,1.0,1.0,32,0.9879518072289156
ViT-B16,per_class,bakso,0.9428571428571428,1.0,0.9705882352941176,33,0.9879518072289156
ViT-B16,per_class,gado_gado,1.0,0.9375,0.967741935483871,32,0.9879518072289156
ViT-B16,macro_avg,macro_avg,0.9885714285714287,0.9875,0.9876660341555977,166,0.9879518072289156
ViT-B16,weighted_avg,weighted_avg,0.9886402753872633,0.9879518072289156,0.9879346608445166,166,0.9879518072289156
